,Time,Tank_1,Tank_2,Tank_3,Pump_1,Pump_2,Flow_sensor_4
0,09/04/2021 18:23,0.0,0,0,0,0,0
1,09/04/2021 18:23,15.5,0,0,0,0,0
2,09/04/2021 18:23,0.0,0,0,0,0,0
3,09/04/2021 18:23,0.0,0,0,0,0,0
4,09/04/2021 18:23,0.0,0,0,1,1,0
5,09/04/2021 18:23,0.0,0,0,1,1,0
6,09/04/2021 18:23,54.0,0,0,1,1,0
7,09/04/2021 18:23,-30.5,0,0,1,1,0
8,09/04/2021 18:23,210.0,0,0,1,1,0
9,09/04/2021 18:23,277.0,0,0,1,1,0
10,09/04/2021 18:23,25.5,0,0,1,1,0
11,09/04/2021 18:23,-30.5,0,0,1,1,0
12,09/04/2021 18:23,15.5,10,0,1,1,0
13,09/04/2021 18:23,426.0,95,0,1,1,0
14,09/04/2021 18:23,451.0,138,0,1,1,0
15,09/04/2021 18:23,-30.5,182,0,1,1,0
16,09/04/2021 18:23,511.0,222,0,1,1,0
17,09/04/2021 18:23,557.0,251,0,1,1,0
18,09/04/2021 18:23,585.0,291,0,1,1,0
19,09/04/2021 18:23,-30.5,317,0,1,1,0
20,09/04/2021 18:23,649.0,344,0,1,1,0
21,09/04/2021 18:23,25.5,365,0,1,1,0
22,09/04/2021 18:23,719.0,398,0,1,1,0
23,09/04/2021 18:23,746.0,420,0,1,1,0
24,09/04/2021 18:23,756.0,427,0,1,1,0
25,09/04/2021 18:23,784.0,475,0,1,1,0
26,09/04/2021 18:23,817.0,494,0,1,1,0
27,09/04/2021 18:23,836.0,529,0,1,1,0
28,09/04/2021 18:23,871.0,547,0,1,1,0
29,09/04/2021 18:23,909.0,575,0,1,1,0
30,09/04/2021 18:23,933.0,589,0,1,1,0
31,09/04/2021 18:23,957.0,629,0,1,1,0
32,09/04/2021 18:24,992.0,639,0,1,1,0
33,09/04/2021 18:24,-30.5,658,0,1,1,0
34,09/04/2021 18:24,1054.0,680,0,1,1,0
35,09/04/2021 18:24,1078.0,697,0,1,1,0
36,09/04/2021 18:24,1095.0,720,0,1,1,0
37,09/04/2021 18:24,0.0,753,0,1,1,0
38,09/04/2021 18:24,1149.0,777,0,1,1,0
39,09/04/2021 18:24,1198.0,782,0,1,1,0
40,09/04/2021 18:24,1221.0,822,0,1,1,0
41,09/04/2021 18:24,1240.0,834,0,1,1,0
42,09/04/2021 18:24,1270.0,887,0,1,1,0
43,09/04/2021 18:24,1310.0,887,0,1,1,0
44,09/04/2021 18:24,1328.0,920,0,1,1,0
45,09/04/2021 18:24,1364.0,935,0,1,1,0
46,09/04/2021 18:24,15.5,949,0,1,1,0
47,09/04/2021 18:24,1414.0,985,0,1,1,0
48,09/04/2021 18:24,25.5,991,0,1,1,0
49,09/04/2021 18:24,1468.0,1027,0,1,1,0
50,09/04/2021 18:24,1506.0,1056,0,1,1,0
51,09/04/2021 18:24,0.0,1072,0,1,1,0
52,09/04/2021 18:24,1543.0,1099,0,1,1,0
53,09/04/2021 18:24,1582.0,1108,0,1,1,0
54,09/04/2021 18:24,1614.0,1153,0,1,1,0
55,09/04/2021 18:24,-30.5,1156,0,1,1,0
