Time,Tank1WaterLevel
02/01/2010 00:00,1.00E-06
02/01/2010 01:00,6.89E-07
02/01/2010 02:00,0.003333928
02/01/2010 03:00,0.054484331
02/01/2010 04:00,0.077170513
02/01/2010 05:00,0.06660111
02/01/2010 06:00,0.060735312
02/01/2010 07:00,0.095830375
02/01/2010 08:00,0.123351477
02/01/2010 09:00,0.119414404
02/01/2010 10:00,0.112229993
02/01/2010 11:00,0.146386121
02/01/2010 12:00,0.173625351
02/01/2010 13:00,0.169494899
02/01/2010 14:00,0.162256312
02/01/2010 15:00,0.196379501
02/01/2010 16:00,0.223611824
02/01/2010 17:00,0.219479885
02/01/2010 18:00,0.212242667
02/01/2010 19:00,0.246368772
02/01/2010 20:00,0.273602999
02/01/2010 21:00,0.269473487
02/01/2010 22:00,0.262237563
02/01/2010 23:00,0.296365175
03/01/2010 00:00,0.323600163
03/01/2010 01:00,0.31947151
03/01/2010 02:00,0.312236011
03/01/2010 03:00,0.346364098
03/01/2010 04:00,0.373599319
03/01/2010 05:00,0.369470925
03/01/2010 06:00,0.362235554
03/01/2010 07:00,0.396363781
03/01/2010 08:00,0.423599072
03/01/2010 09:00,0.419470754
03/01/2010 10:00,0.41223542
03/01/2010 11:00,0.446363689
03/01/2010 12:00,0.473598999
03/01/2010 13:00,0.469470704
03/01/2010 14:00,0.462235381
03/01/2010 15:00,0.496363662
03/01/2010 16:00,0.523598978
03/01/2010 17:00,0.519470689
03/01/2010 18:00,0.512235369
03/01/2010 19:00,0.546363654
03/01/2010 20:00,0.573596375
03/01/2010 21:00,0.569430045
03/01/2010 22:00,0.562125643
03/01/2010 23:00,0.596079808
04/01/2010 00:00,0.623159296
04/01/2010 01:00,0.61873089
04/01/2010 02:00,0.611241001
04/01/2010 03:00,0.644910381
04/01/2010 04:00,0.671798312
04/01/2010 05:00,0.667082213
04/01/2010 06:00,0.659400887
04/01/2010 07:00,0.692784136
04/01/2010 08:00,0.719482125
04/01/2010 09:00,0.714482438
04/01/2010 10:00,0.70661296
04/01/2010 11:00,0.739715361
04/01/2010 12:00,0.766227042
04/01/2010 13:00,0.760949271
04/01/2010 14:00,0.752895323
04/01/2010 15:00,0.785722389
04/01/2010 16:00,0.812051423
04/01/2010 17:00,0.806501041
04/01/2010 18:00,0.798266254
04/01/2010 19:00,0.830823407
04/01/2010 20:00,0.856973391
04/01/2010 21:00,0.851155767
04/01/2010 22:00,0.842743702
04/01/2010 23:00,0.875036256
05/01/2010 00:00,0.901010717
05/01/2010 01:00,0.894931112
05/01/2010 02:00,0.88634526
05/01/2010 03:00,0.918378427
05/01/2010 04:00,0.94418082
05/01/2010 05:00,0.937844395
05/01/2010 06:00,0.929088178
05/01/2010 07:00,0.960867066
05/01/2010 08:00,0.98650078
05/01/2010 09:00,0.985695312
05/01/2010 10:00,0.975764525
05/01/2010 11:00,0.983130185
05/01/2010 12:00,1.012738197
05/01/2010 13:00,1.048339809
05/01/2010 14:00,1.035488147
05/01/2010 15:00,1.021527761
05/01/2010 16:00,1.032105433
05/01/2010 17:00,1.074093747
05/01/2010 18:00,1.096771737
05/01/2010 19:00,1.077852246
05/01/2010 20:00,1.066417946
05/01/2010 21:00,1.095291616
05/01/2010 22:00,1.133160676
05/01/2010 23:00,1.138441929
06/01/2010 00:00,1.120123991
06/01/2010 01:00,1.113148278
06/01/2010 02:00,1.155504974
06/01/2010 03:00,1.179429946
06/01/2010 04:00,1.176819571
06/01/2010 05:00,1.165936167
06/01/2010 06:00,1.172040943
06/01/2010 07:00,1.200864239
06/01/2010 08:00,1.23532728
06/01/2010 09:00,1.221730215
06/01/2010 10:00,1.206662741
06/01/2010 11:00,1.216507302
06/01/2010 12:00,1.257401627
06/01/2010 13:00,1.279353694
06/01/2010 14:00,1.259350226
06/01/2010 15:00,1.250253532
06/01/2010 16:00,1.274996074
06/01/2010 17:00,1.300561089
06/01/2010 18:00,1.316369548
06/01/2010 19:00,1.302082618
06/01/2010 20:00,1.289316011
06/01/2010 21:00,1.317305618
06/01/2010 22:00,1.353854853
06/01/2010 23:00,1.358260426
07/01/2010 00:00,1.338635302
07/01/2010 01:00,1.330792363
07/01/2010 02:00,1.371854572
07/01/2010 03:00,1.394920782
07/01/2010 04:00,1.391028599
07/01/2010 05:00,1.379294867
07/01/2010 06:00,1.384130447
07/01/2010 07:00,1.412111795
07/01/2010 08:00,1.445318161
07/01/2010 09:00,1.43088746
07/01/2010 10:00,1.414575725
07/01/2010 11:00,1.423594889
07/01/2010 12:00,1.463257254
07/01/2010 13:00,1.484392087
07/01/2010 14:00,1.463168844
07/01/2010 15:00,1.453262999
07/01/2010 16:00,1.476797833
07/01/2010 17:00,1.501561702
07/01/2010 18:00,1.516174402
07/01/2010 19:00,1.501094254
07/01/2010 20:00,1.487143718
07/01/2010 21:00,1.514347956
07/01/2010 22:00,1.549724978
07/01/2010 23:00,1.553352952
08/01/2010 00:00,1.532567214
08/01/2010 01:00,1.523954371
08/01/2010 02:00,1.563867451
08/01/2010 03:00,1.586171375
08/01/2010 04:00,1.581141434
08/01/2010 05:00,1.56865296
08/01/2010 06:00,1.572362039
08/01/2010 07:00,1.599596113
08/01/2010 08:00,1.631687127
08/01/2010 09:00,1.616516547
08/01/2010 10:00,1.599100496
08/01/2010 11:00,1.607387102
08/01/2010 12:00,1.645956079
08/01/2010 13:00,1.666365602
08/01/2010 14:00,1.64405979
08/01/2010 15:00,1.633435814
08/01/2010 16:00,1.655898791
08/01/2010 17:00,1.679951635
08/01/2010 18:00,1.693503085
08/01/2010 19:00,1.677718947
08/01/2010 20:00,1.662717663
08/01/2010 21:00,1.689224877
08/01/2010 22:00,1.723561549
08/01/2010 23:00,1.726499396
09/01/2010 00:00,1.704683603
09/01/2010 01:00,1.695387462
09/01/2010 02:00,1.734280679
09/01/2010 03:00,1.755908067
09/01/2010 04:00,1.749868355
09/01/2010 05:00,1.73671004
09/01/2010 06:00,1.73941934
09/01/2010 07:00,1.765990201
09/01/2010 08:00,1.797091329
09/01/2010 09:00,1.781264099
09/01/2010 10:00,1.762867957
09/01/2010 11:00,1.770504411
09/01/2010 12:00,1.808102996
09/01/2010 13:00,1.827868801
09/01/2010 14:00,1.804602199
09/01/2010 15:00,1.793340874
09/01/2010 16:00,1.814852569
09/01/2010 17:00,1.838274371
09/01/2010 18:00,1.850883952
09/01/2010 19:00,1.834475016
09/01/2010 20:00,1.818541183
09/01/2010 21:00,1.844429782
09/01/2010 22:00,1.877843133
09/01/2010 23:00,1.880168487
10/01/2010 00:00,1.857438509
10/01/2010 01:00,1.847535936
10/01/2010 02:00,1.885524015
10/01/2010 03:00,1.906550971
10/01/2010 04:00,1.899615078
10/01/2010 05:00,1.885862272
10/01/2010 06:00,1.887684259
10/01/2010 07:00,1.913666513
10/01/2010 08:00,1.943889108
10/01/2010 09:00,1.927479094
10/01/2010 10:00,1.908213113
10/01/2010 11:00,1.915272551
10/01/2010 12:00,1.952009904
10/01/2010 13:00,1.971204402
10/01/2010 14:00,1.947085091
10/01/2010 15:00,1.935258112
10/01/2010 16:00,1.955925535
10/01/2010 17:00,1.978787281
10/01/2010 18:00,1.990560945
10/01/2010 19:00,1.973597495
10/01/2010 20:00,1.956836017
10/01/2010 21:00,1.982175589
10/01/2010 22:00,2.014769484
